platform,store_id,product_id,canonical_asin,product_name,brand,price,currency,product_url,review_count,collected_at
amazon,A3UITLIH0G45Q9,B0DTCNV67F,B0DTCNV67F,CLOSEMATE 6 Pairs Men's Athletic Crew Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks (US Mens Size 12-15) for Men,CLOSEMATE,41.78,USD,https://www.amazon.com/dp/B0DTCNV67F,0,2026-08-19T19:14:55Z
amazon,A3UITLIH0G45Q9,B0DTCNWNVT,B0DTCNWNVT,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DTCNWNVT,0,2026-08-19T19:15:44Z
amazon,A3UITLIH0G45Q9,B0DTD6ZW4Z,B0DTD6ZW4Z,CLOSEMATE Men's 13 Count White Athletic Socks (Mens Size 9-12),CLOSEMATE,43.69,USD,https://www.amazon.com/dp/B0DTD6ZW4Z,0,2026-08-19T19:16:12Z
amazon,A3UITLIH0G45Q9,B0DTDBG4B1,B0DTDBG4B1,CLOSEMATE 12 Pairs Thin and Comfortable Mens No Show Socks (US Mens Size: 9-12 and US Mens Size: 7-10),CLOSEMATE,24.68,USD,https://www.amazon.com/dp/B0DTDBG4B1,0,2026-08-19T19:16:23Z
amazon,A3UITLIH0G45Q9,B0DTDBH935,B0DTDBH935,CLOSEMATE 12 Pairs Thin and Comfortable Mens No Show Socks (US Mens Size: 10-13),CLOSEMATE,24.68,USD,https://www.amazon.com/dp/B0DTDBH935,0,2026-08-19T19:17:12Z
amazon,A3UITLIH0G45Q9,B0DTDDVX7Q,B0DTDDVX7Q,CLOSEMATE 6 Pairs Mens Athletic Crew Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,40.83,USD,https://www.amazon.com/dp/B0DTDDVX7Q,0,2026-08-19T19:17:41Z
amazon,A3UITLIH0G45Q9,B0DTDGWGCR,B0DTDGWGCR,CLOSEMATE 12 Pairs Thin and Comfortable Mens No Show Socks (US Mens Size: 10-13),CLOSEMATE,24.68,USD,https://www.amazon.com/dp/B0DTDGWGCR,0,2026-08-19T19:17:53Z
amazon,A3UITLIH0G45Q9,B0DTDJH3VJ,B0DTDJH3VJ,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DTDJH3VJ,0,2026-08-19T19:18:38Z
amazon,A3UITLIH0G45Q9,B0DTDLYT8Q,B0DTDLYT8Q,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DTDLYT8Q,0,2026-09-03T10:45:47Z
amazon,A3UITLIH0G45Q9,B0DTDN36XS,B0DTDN36XS,CLOSEMATE 7 Pairs Mens Ankle Running Socks and 6 Pairs Mens Athletic Ankle Socks (US Mens Size 9-12),CLOSEMATE,37.98,USD,https://www.amazon.com/dp/B0DTDN36XS,0,2026-08-19T19:19:17Z
amazon,A3UITLIH0G45Q9,B0DTDQNPT6,B0DTDQNPT6,"CLOSEMATE 7 Pairs Men's Ankle Running Socks & 6 Pairs Men's Athletic Ankle Socks (White, Medium, 9-12)",CLOSEMATE,37.98,USD,https://www.amazon.com/dp/B0DTDQNPT6,0,2026-08-19T19:19:47Z
amazon,A3UITLIH0G45Q9,B0DTDRP9VX,B0DTDRP9VX,"CLOSEMATE 12 Pairs Mens Comfortable Cushioned Ankle Athletic Socks（1WhiteBlack 1BlueBlack, US Mens Size 9-12）",CLOSEMATE,37.98,USD,https://www.amazon.com/dp/B0DTDRP9VX,0,2026-09-03T10:44:45Z
amazon,A3UITLIH0G45Q9,B0DTDTP4JR,B0DTDTP4JR,CLOSEMATE 7 Pairs Mens Ankle Running Socks and 6 Pairs Mens Cushioned Crew Socks (US Mens Size 9-12),CLOSEMATE,42.76,USD,https://www.amazon.com/dp/B0DTDTP4JR,0,2026-08-19T19:20:50Z
amazon,A3UITLIH0G45Q9,B0DTDTX199,B0DTDTX199,CLOSEMATE 12 Pairs Thin and Comfortable Mens No Show Socks (US Mens Size: 7-10),CLOSEMATE,24.68,USD,https://www.amazon.com/dp/B0DTDTX199,0,2026-08-19T19:22:01Z
amazon,A3UITLIH0G45Q9,B0DTDVQHX6,B0DTDVQHX6,CLOSEMATE 6 Pairs Mens Cushioned Crew Socks (US Mens Size 9-12) and 7 Pairs Mens Ankle Running Socks (US Mens Size 12-15),CLOSEMATE,42.76,USD,https://www.amazon.com/dp/B0DTDVQHX6,0,2026-08-20T02:24:34Z
amazon,A3UITLIH0G45Q9,B0DTDW3C8G,B0DTDW3C8G,CLOSEMATE 6 Pairs Mens Cushioned Crew Socks (US Mens Size 9-12) and 7 Pairs Mens Ankle Running Socks (US Mens Size 12-15),CLOSEMATE,42.76,USD,https://www.amazon.com/dp/B0DTDW3C8G,0,2026-08-19T19:22:49Z
